Station_Id_C Year_Data Mon_Data Day_Data Hour_Data EVSS V03099 Time_Dev_WQ Lat_Dev Lon_Dev PRS_HWC GPH WIN_D WIN_S TEM DPT DTD
59280 2020 5 30 12 8192.0000 20200530111536 2054.0000 0.0670 0.1928 197.0000 999999.0000 999999.0000 999999.0000 19.3000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2102.0000 0.0698 0.1998 187.0000 999999.0000 999999.0000 999999.0000 36.2000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 2098.0000 0.0698 0.1998 188.0000 999999.0000 999999.0000 999999.0000 50.1000 999999.0000 999998.0000 
59280 2020 5 30 12 65536.0000 20200530111536 3325.0000 0.1178 0.3283 70.0000 19375.0000 249.0000 4.0000 1.7000 999999.0000 999998.0000 
59280 2020 5 30 12 65536.0000 20200530111536 2639.0000 0.0879 0.2678 100.0000 16931.0000 224.0000 7.0000 -75.7000 999999.0000 999998.0000 
59280 2020 5 30 12 65536.0000 20200530111536 3325.0000 0.1178 0.3283 50.0000 22072.0000 249.0000 4.0000 1.4000 999999.0000 999998.0000 
59280 2020 5 30 12 65536.0000 20200530111536 1807.0000 0.0496 0.1611 250.0000 11092.0000 237.0000 16.0000 -24.3000 999999.0000 999998.0000 
59280 2020 5 30 12 65536.0000 20200530111536 1615.0000 0.0358 0.1374 300.0000 9750.0000 238.0000 13.0000 -28.1000 -29.8000 1.7000 
59280 2020 5 30 12 65536.0000 20200530111536 2308.0000 0.0801 0.2298 150.0000 14553.0000 251.0000 16.0000 -66.4000 999999.0000 999998.0000 
59280 2020 5 30 12 65536.0000 20200530111536 3325.0000 0.1178 0.3283 7.0000 38580.0000 249.0000 4.0000 0.6000 999999.0000 999998.0000 
59280 2020 5 30 12 65536.0000 20200530111536 3325.0000 0.1178 0.3283 10.0000 35698.0000 249.0000 4.0000 0.6000 999999.0000 999998.0000 
59280 2020 5 30 12 65536.0000 20200530111536 3325.0000 0.1178 0.3283 5.0000 41305.0000 249.0000 4.0000 0.5000 999999.0000 999998.0000 
59280 2020 5 30 12 65536.0000 20200530111536 3325.0000 0.1178 0.3283 30.0000 26855.0000 249.0000 4.0000 1.0000 999999.0000 999998.0000 
59280 2020 5 30 12 65536.0000 20200530111536 2041.0000 0.0663 0.1912 200.0000 12675.0000 244.0000 16.0000 -89.9000 999999.0000 999998.0000 
59280 2020 5 30 12 65536.0000 20200530111536 3325.0000 0.1178 0.3283 20.0000 30113.0000 249.0000 4.0000 0.8000 999999.0000 999998.0000 
59280 2020 5 30 12 131072.0000 20200530111536 0.0000 -0.0102 -0.0013 1000.4000 80.0000 0.0000 0.0000 26.0000 25.8000 0.2000 
59280 2020 5 30 12 65536.0000 20200530111536 533.0000 0.0033 0.0223 700.0000 3161.0000 256.0000 10.0000 12.0000 4.5000 7.5000 
59280 2020 5 30 12 65536.0000 20200530111536 1273.0000 0.0187 0.0939 400.0000 7620.0000 254.0000 13.0000 -14.1000 -16.2000 2.1000 
59280 2020 5 30 12 65536.0000 20200530111536 990.0000 0.0141 0.0637 500.0000 5894.0000 258.0000 10.0000 -4.8000 -8.6000 3.8000 
59280 2020 5 30 12 65536.0000 20200530111536 1.0000 -0.0102 -0.0014 1000.0000 84.0000 0.0000 0.0000 26.0000 25.4000 0.6000 
59280 2020 5 30 12 65536.0000 20200530111536 251.0000 0.0003 0.0020 850.0000 1507.0000 242.0000 6.0000 19.7000 17.8000 1.9000 
59280 2020 5 30 12 65536.0000 20200530111536 122.0000 -0.0058 -0.0017 925.0000 771.0000 192.0000 6.0000 22.9000 22.9000 0.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1786.0000 0.0481 0.1586 255.0000 999999.0000 999999.0000 999999.0000 17.5000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1773.0000 0.0471 0.1571 258.0000 999999.0000 999999.0000 999999.0000 -36.5000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1800.0000 0.0491 0.1602 252.0000 999999.0000 999999.0000 999999.0000 6.5000 999999.0000 999998.0000 
